date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres
01/01/2020,4.9,1.6,7.4,,,230,18.1,40.8,1022.9
02/01/2020,6.7,5.7,7.6,,,206,23.6,50,1015.5
03/01/2020,7.8,7,8.6,,,225,28.2,53.7,1003.6
04/01/2020,5.2,2,7.3,,,293,22.2,57.4,1009.7
05/01/2020,1.6,-1.6,6.3,,,214,14.7,38.9,1023.4
06/01/2020,7.1,5.6,7.7,,,206,17.9,37,1017
07/01/2020,7,6.1,7.8,,,196,21.2,48.2,1013.4
08/01/2020,8.4,6.8,10.3,,,215,25.9,59.3,1007.8
09/01/2020,5.2,4.3,6.9,,,175,12.3,37,1010.1
10/01/2020,3.4,-0.4,5.1,,,16,16,37,1010.9
11/01/2020,2.6,-1,7.7,,,190,24.1,64.8,1016.2
12/01/2020,6.9,3.7,8.7,,,213,19.6,64.8,1006.4
13/01/2020,4.3,3.7,5,,,200,14.7,29.6,1010
14/01/2020,6.3,4.7,7.7,,,188,26.2,51.8,997.7
15/01/2020,8.5,7.2,10.1,,,201,26.4,53.7,997.3
16/01/2020,7.1,6.3,7.9,,,203,21.9,42.6,1015.1
17/01/2020,6.5,5.7,7.1,,,177,19.3,35.2,1013.7
18/01/2020,6.2,5.3,6.8,,,204,18.7,42.6,1007.7
19/01/2020,3.2,-0.2,5.7,,,262,8.1,27.8,1027.2
20/01/2020,4.1,-0.5,8.7,,,214,15.4,40.8,1034.3
21/01/2020,8.2,6.9,9.6,,,229,19.6,40.8,1026
22/01/2020,4.9,-0.6,7.3,,,309,12.3,35.2,1026.7
23/01/2020,3.9,-0.1,8.1,,,213,16.2,40.8,1023.1
24/01/2020,7.7,6.4,8.8,,,226,19.8,38.9,1012.1
25/01/2020,6.2,5.3,7.3,,,227,13.6,29.6,1012.4
26/01/2020,7,6.5,7.7,,,204,18.5,33.3,1010.8
27/01/2020,5.9,5.4,6.3,,,185,18.4,37,1002.3
28/01/2020,4.9,4.1,5.4,,,145,9.7,25.9,988.4
29/01/2020,4.3,3.7,5.1,,,203,13.7,27.8,988.6
30/01/2020,3.5,2.8,4.5,,,195,8.8,25.9,994.4
31/01/2020,5,3.8,6.6,,,200,10.3,31.5,990.6
01/02/2020,7.7,5.8,8.4,,,204,23.9,44.5,986.8
02/02/2020,6.5,3.4,8.2,,,268,16.6,38.9,993.1
03/02/2020,1.2,-0.8,2.9,,,197,5.5,16.7,999.7
04/02/2020,2.5,0.5,3.5,,,339,15.7,37,1002.3
05/02/2020,2.5,-0.9,6.7,,,261,14.4,44.5,1022.2
06/02/2020,5.5,2.7,7.5,,,282,9.6,29.6,1020
07/02/2020,2.7,0.7,4.5,,,163,8.8,25.9,1026.5
08/02/2020,4.8,4.1,5.8,,,185,18,37,1017.1
09/02/2020,5.9,4.7,8.3,,,191,34.2,81.5,991.2
10/02/2020,7.7,6.7,8.6,,,217,32.4,68.5,968.8
11/02/2020,6,5.3,6.6,,,218,21.7,50,976.4
12/02/2020,6.3,5.2,8.1,,,230,23.9,51.8,985.9
13/02/2020,4.3,2,5.9,,,218,12.4,33.3,1002
14/02/2020,2.4,0.4,4.3,,,166,7.9,31.5,1013.7
15/02/2020,5.9,3.3,8.3,,,192,23.5,57.4,1008.5
16/02/2020,9.3,7.8,10.6,,,200,37.1,83.3,987.7
17/02/2020,7.7,7,8.2,,,205,34.7,68.5,990.4
18/02/2020,6.7,5.8,8.5,,,215,26,53.7,999.7
19/02/2020,5.2,3.2,6.9,,,227,13.7,40.8,1003
20/02/2020,4.1,2.6,6.6,,,186,24.5,61.1,1003.8
21/02/2020,6.7,5.3,7.9,,,218,27.2,59.3,1002.1
22/02/2020,7.6,6.2,9,,,217,36.4,75.9,992.8
23/02/2020,6.9,4.8,7.9,,,238,26.9,66.7,994.4
24/02/2020,4.1,2.4,6.4,,,257,11.1,27.8,1005.5
25/02/2020,2.2,1.4,3.1,,,56,17.5,46.3,985
26/02/2020,0.5,-3.2,2,,,16,26.1,50,991.5
27/02/2020,-2.3,-4.9,1.3,,,51,7.1,18.5,998.3
28/02/2020,0.2,-3.3,2.9,,,159,8,20.4,1002.3
29/02/2020,2.2,1.3,3.6,,,138,12.9,31.5,992.1
01/03/2020,4.2,3.5,5.4,,,191,27.1,51.8,982.8
02/03/2020,4.5,2.6,6.4,,,180,16.4,42.6,991.1
03/03/2020,2.8,1.4,4.7,,,74,7.9,18.5,999.9
04/03/2020,2.7,1.7,4,,,327,9.6,22.2,1003
05/03/2020,2.1,0.4,4.7,,,204,10,24.1,1002.2
06/03/2020,1.8,-1,5.8,,,47,10,22.2,1003.1
07/03/2020,2.8,0.4,6.1,,,7,10.2,22.2,1010.3
08/03/2020,4.5,2.3,6.1,,,182,27.5,55.5,1004.7
